Window_ID,Window_Timestamp,Flow_Count,Src Port_mean,Src Port_std,Src Port_max,Src Port_min,Dst Port_mean,Dst Port_std,Dst Port_max,Dst Port_min,Protocol_mean,Protocol_std,Protocol_max,Protocol_min,Flow Duration_mean,Flow Duration_std,Flow Duration_max,Flow Duration_min,Tot Fwd Pkts_mean,Tot Fwd Pkts_std,Tot Fwd Pkts_max,Tot Fwd Pkts_min,Tot Bwd Pkts_mean,Tot Bwd Pkts_std,Tot Bwd Pkts_max,Tot Bwd Pkts_min,TotLen Fwd Pkts_mean,TotLen Fwd Pkts_std,TotLen Fwd Pkts_max,TotLen Fwd Pkts_min,TotLen Bwd Pkts_mean,TotLen Bwd Pkts_std,TotLen Bwd Pkts_max,TotLen Bwd Pkts_min,Fwd Pkt Len Mean_mean,Fwd Pkt Len Mean_std,Fwd Pkt Len Mean_max,Fwd Pkt Len Mean_min,Bwd Pkt Len Mean_mean,Bwd Pkt Len Mean_std,Bwd Pkt Len Mean_max,Bwd Pkt Len Mean_min,Flow Byts/s_mean,Flow Byts/s_std,Flow Byts/s_max,Flow Byts/s_min,Flow Pkts/s_mean,Flow Pkts/s_std,Flow Pkts/s_max,Flow Pkts/s_min,SYN Flag Cnt_mean,SYN Flag Cnt_std,SYN Flag Cnt_max,SYN Flag Cnt_min,ACK Flag Cnt_mean,ACK Flag Cnt_std,ACK Flag Cnt_max,ACK Flag Cnt_min,RST Flag Cnt_mean,RST Flag Cnt_std,RST Flag Cnt_max,RST Flag Cnt_min,Unique_Src_Ports,Unique_Dst_Ports,SYN_ACK_Ratio,RST_SYN_Ratio,Port_Diversity,Connection_Failure_Rate,Traffic_Burst_Score,Port_Scan_Score,Attack,Attack_Stage
0,2026-08-31 10:00:00,10,24819.1,15502.580641443039,51081,1186,1784.1,3322.675710594968,8080,53,6.6,3.9777157040470135,17,1,312321.3040036216,234025.00409979938,721310.1899608106,30718.12101437328,10.0,2.3570226039551585,13,5,10.4,2.756809750418044,16,7,6223.2,3911.9108658329915,13596,480,7462.3,4799.573801680497,13772,1792,675.1,488.52418341140265,1392.0,60.0,694.6,407.1879718808556,1276.0,189.0,0.15470743152394845,0.21719775219808057,0.632753545849296,0.0057853057644574,0.0001863330980742237,0.00024353910624546043,0.0007161896387654,3.30299377631233e-05,0.4,0.5163977794943223,1,0,0.6,0.5163977794943222,1,0,0.0,0.0,0,0,10,4,0.5714285714285714,0.0,0.36363636363636365,0.0,0.9951219512195122,1.4545454545454546,0,0
1,2026-08-31 10:00:05,10,33853.5,19821.846562988692,61621,6371,1008.2,2492.7567871735905,8080,22,6.6,3.9777157040470135,17,1,267189.05156773067,252181.25261864928,913630.968994574,26252.38534351172,9.5,3.1710495984067415,15,4,8.8,3.8239014399199966,17,5,6586.0,4028.99954496564,14625,1962,6976.8,3233.557270595686,11687,1715,723.0,368.4091927915661,1138.0,218.0,845.1,436.0057211653179,1474.0,343.0,0.11391695616750781,0.12148908033932815,0.4067439913063606,0.0185285274812525,0.00015866288732592157,0.00020764163706370236,0.0007237437567728,1.9701608866883632e-05,0.5,0.5270462766947299,1,0,0.4,0.5163977794943223,1,0,0.0,0.0,0,0,10,5,1.0,0.0,0.45454545454545453,0.0,0.9408740359897172,2.272727272727273,0,0
2,2026-08-31 10:00:10,10,33034.4,18052.31771023076,60087,3667,1814.8,3307.2716449262725,8080,22,6.0,0.0,6,6,443550.6937127725,513936.8894558197,1606832.467643761,24960.19672895963,10.7,3.3015148038438356,15,5,8.5,2.5055493963954847,11,4,7014.0,4654.488992121238,17212,2980,6626.8,4615.98186978916,16357,712,703.9,455.3690688758833,1460.0,247.0,791.9,444.4485847029378,1487.0,89.0,0.2315506693039823,0.3504191255386932,0.8876574034668164,0.0078527166048768,0.00023047304384745635,0.0002711546769036158,0.000681084375167,1.2446848319665385e-05,0.5,0.5270462766947299,1,0,0.5,0.5270462766947299,1,0,0.0,0.0,0,0,10,5,0.8333333333333334,0.0,0.45454545454545453,0.0,0.9896907216494846,2.272727272727273,0,0
3,2026-08-31 10:00:15,10,38093.0,17554.154956084392,61509,8951,1859.0,3283.1661547963117,8080,53,7.7,5.143496432929214,17,1,370646.99642850214,480152.3251343636,1459116.1503671445,22533.13058000253,12.7,4.4484703987875305,20,5,8.7,4.423422506008969,15,2,11098.6,8276.471647588322,24894,2420,9769.2,7480.348949079849,21630,1824,839.5,428.2847572974473,1383.0,220.0,1078.7,423.27822475950205,1454.0,228.0,0.38017879310947894,0.4991350749047547,1.42057491177911,0.0123403162057646,0.00033604898693566165,0.00040590844937534603,0.0011538565356531,1.4392274387869697e-05,0.2,0.42163702135578396,1,0,0.4,0.5163977794943222,1,0,0.0,0.0,0,0,10,5,0.4,0.0,0.45454545454545453,0.0,1.0740276035131744,0.9090909090909091,0,0
4,2026-08-31 10:00:20,10,30683.2,20544.136145274046,55767,2195,1859.2,3283.070371872444,8080,53,7.1,3.478505426185217,17,6,537464.5354707352,750896.2910844297,2278444.0461143088,65785.95928071695,11.6,2.590581230363393,18,8,8.4,2.0110804171997807,12,6,10019.9,6212.028232925754,18864,1200,6902.4,4465.231192222862,12528,1512,834.6,468.57234707614197,1363.0,100.0,787.0,444.7196370248964,1409.0,252.0,0.10926556314571731,0.10763018970770499,0.3462744975615865,0.0088884388788856,0.0001383647741590906,0.00011889333262954414,0.0003496186762035,1.209860101481712e-05,0.8,0.42163702135578396,1,0,0.5,0.5270462766947299,1,0,0.0,0.0,0,0,10,5,1.3333333333333333,0.0,0.45454545454545453,0.0,1.0020040080160322,3.6363636363636362,0,0
5,2026-08-31 10:00:25,10,36841.4,19777.343975142645,63569,6456,1054.5,3.0276503540974917,1059,1050,8.8,5.865151319446072,17,1,263707.2751402595,198501.3230712593,554989.8272229315,2098.1177611591675,10.6,3.9777157040470135,20,6,8.7,3.1989581637360205,14,3,9782.3,7235.107248686781,22480,1304,6538.8,4710.001976880924,13113,1364,899.2,506.56573556098766,1476.0,163.0,749.0,460.0352643487719,1457.0,124.0,0.9451190843646693,2.3121471270358356,7.422843566782087,0.0142654430339094,0.0010428710589894647,0.0025202556973913984,0.0081025003618399,2.522568759467395e-05,1.0,0.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,10,10,10.0,0.0,0.9090909090909091,0.0,0.977710233029382,9.090909090909092,1,1
6,2026-08-31 10:00:30,10,32446.9,17945.848541592506,63316,7612,1064.5,3.0276503540974917,1069,1060,7.7,5.143496432929215,17,1,365845.0577005416,463577.46102320065,1570037.3348319917,50997.35481909057,11.1,4.508017549014447,20,5,10.7,1.766981104093143,13,8,8376.5,5253.132657969169,21140,2941,8110.7,5786.2267507514,17880,1001,799.0,351.8617152613604,1267.0,173.0,784.2,540.6016812568915,1490.0,91.0,0.10339774822103398,0.08746851238818949,0.2830538965869226,0.0115341206212924,0.00015516678524357604,0.00013276273779428693,0.0003921772034456,1.52862606941862e-05,1.0,0.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,10,10,10.0,0.0,0.9090909090909091,0.0,1.0665362035225048,9.090909090909092,1,1
7,2026-08-31 10:00:35,10,26346.6,16169.156950468658,64838,7328,1074.5,3.0276503540974917,1079,1070,7.1,3.478505426185217,17,6,463988.5590913667,389574.1775549294,1278314.8745537638,37757.91477930543,10.6,2.7162065049951147,16,7,8.5,3.064129385141706,13,4,10564.4,4555.227429375325,16440,819,7238.6,4281.88660911675,13624,760,1046.8,430.7342052305059,1443.0,63.0,816.0,344.331558562706,1354.0,95.0,0.10838492334536229,0.14099105208333146,0.4756088915452087,0.0012352199222737,0.00011090390612035578,0.00013721553827356355,0.0004502367277129,1.6427877370328208e-05,1.0,0.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,10,10,10.0,0.0,0.9090909090909091,0.0,0.9353574926542606,9.090909090909092,1,1
8,2026-08-31 10:00:40,10,22523.6,17795.166792012813,63056,3360,1084.5,3.0276503540974917,1089,1080,8.2,4.638007234913623,17,6,797123.8826720752,815406.0978259406,2447401.7579172463,99769.607645218,11.1,2.8460498941515415,16,6,8.4,2.913569784454954,12,4,6775.8,4338.094225706849,13468,2088,6949.1,4473.566572409287,12716,564,600.2,351.711308382947,1216.0,210.0,855.6,441.82329298286464,1436.0,47.0,0.04903054970607139,0.05130871777022596,0.16622143157237,0.0035903381909155,7.654071585387666e-05,7.489256945594216e-05,0.0002004618487537,7.354738526969336e-06,1.0,0.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,10,10,10.0,0.0,0.9090909090909091,0.0,0.9730538922155688,9.090909090909092,1,1
9,2026-08-31 10:00:45,10,39439.6,19819.024553864063,63429,2657,1094.5,3.0276503540974917,1099,1090,6.0,0.0,6,6,497438.29946805054,347719.6264003121,1006539.2812131746,30734.192931961086,10.3,3.3349995835415367,17,6,9.5,2.6352313834736494,13,4,7431.9,4719.545727904094,14722,1023,8157.1,5919.733917631396,17376,630,695.7,342.10396405511324,1282.0,93.0,837.1,508.24260392498036,1448.0,70.0,0.10576906835382036,0.1423283994822237,0.3978630583562594,0.0054043788609457,0.00011380308607112421,0.0001493388783334389,0.0004229816616479,1.8876560860010023e-05,1.0,0.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,10,10,10.0,0.0,0.9090909090909091,0.0,0.99,9.090909090909092,1,1
